Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,42525.000000,43000.000000,41700.000000,41925.000000,28951.835938,3682500
2022-11-03,43525.000000,44650.000000,43250.000000,43600.000000,30108.525391,10199900
2022-11-04,43575.000000,43975.000000,43400.000000,43600.000000,30108.525391,3471500
2022-11-07,43625.000000,44050.000000,43350.000000,43575.000000,30091.261719,3640800
2022-11-08,43550.000000,43550.000000,42700.000000,42975.000000,29676.925781,6013300
2022-11-09,42450.000000,42575.000000,41875.000000,41925.000000,28951.835938,9618300
2022-11-10,40925.000000,41125.000000,39575.000000,40375.000000,27881.462891,14213600
2022-11-11,37550.000000,38500.000000,37550.000000,37550.000000,28883.742188,15699400
2022-11-14,37525.000000,37850.000000,37000.000000,37100.000000,28537.599609,3595300
2022-11-15,37300.000000,37825.000000,37150.000000,37775.000000,29056.812500,4536500
2022-11-16,38300.000000,38400.000000,37750.000000,38000.000000,29229.884766,4292000
2022-11-17,37975.000000,38050.000000,37550.000000,38025.000000,29249.115234,2408000
2022-11-18,38200.000000,38475.000000,37850.000000,38425.000000,29556.796875,3089700
2022-11-21,39000.000000,39925.000000,38725.000000,39750.000000,30575.998047,4092900
2022-11-22,40000.000000,41600.000000,40000.000000,41475.000000,31902.880859,5371800
2022-11-23,41475.000000,42050.000000,41300.000000,41375.000000,31825.960938,3996700
2022-11-24,41500.000000,41975.000000,41475.000000,41650.000000,32037.492188,2409500
2022-11-25,41700.000000,41800.000000,40700.000000,40925.000000,31479.816406,2128800
2022-11-28,40925.000000,41475.000000,40925.000000,41050.000000,31575.966797,1678300
2022-11-29,41525.000000,41925.000000,41525.000000,41850.000000,32191.332031,2593300
2022-11-30,42000.000000,42350.000000,41650.000000,41750.000000,32114.412109,2696900
2022-12-01,42100.000000,42300.000000,41750.000000,42000.000000,32306.712891,1911000
2022-12-02,41875.000000,41875.000000,41450.000000,41600.000000,31999.033203,1270400
2022-12-05,41925.000000,41925.000000,40700.000000,40800.000000,31383.667969,2022300
2022-12-06,40875.000000,41300.000000,40325.000000,41000.000000,31537.507813,1815900
2022-12-07,41225.000000,41400.000000,40375.000000,41350.000000,31806.728516,1853600
2022-12-08,41325.000000,41325.000000,40125.000000,40650.000000,31268.283203,2199200
2022-12-09,40650.000000,40675.000000,39100.000000,39250.000000,30191.394531,2916800
2022-12-12,39250.000000,40100.000000,38600.000000,39900.000000,30691.378906,1510400
2022-12-13,39600.000000,39675.000000,39250.000000,39350.000000,30268.314453,1413700
2022-12-14,39700.000000,40750.000000,39700.000000,40500.000000,31152.902344,1950400
2022-12-15,40525.000000,40750.000000,40025.000000,40275.000000,30979.830078,1530800
2022-12-16,40000.000000,40600.000000,39800.000000,40600.000000,31229.824219,1927300
2022-12-19,40625.000000,40725.000000,40250.000000,40675.000000,31287.515625,955500
2022-12-20,40750.000000,41275.000000,40450.000000,40775.000000,31364.435547,2699700
2022-12-21,40900.000000,41150.000000,40625.000000,41000.000000,31537.507813,1986700
2022-12-22,41175.000000,41400.000000,40825.000000,41000.000000,31537.507813,1654700
2022-12-23,41050.000000,41050.000000,40600.000000,40825.000000,31402.896484,922100
2022-12-26,41000.000000,41150.000000,40250.000000,40400.000000,31075.982422,1133500
2022-12-27,40300.000000,40375.000000,40175.000000,40250.000000,30960.603516,652000
2022-12-28,40600.000000,40600.000000,39600.000000,39800.000000,30614.458984,1554000
2022-12-29,40000.000000,40000.000000,39300.000000,39300.000000,30229.853516,1706200
2022-12-30,39350.000000,39475.000000,38975.000000,39025.000000,30018.322266,2089700
